method,source,hits_at_k,precision_at_k
adamic_adar,513,1,0.1
adamic_adar,521,3,0.3
adamic_adar,525,1,0.1
adamic_adar,530,2,0.2
adamic_adar,536,2,0.2
adamic_adar,545,5,0.5
adamic_adar,546,3,0.3
adamic_adar,549,1,0.1
adamic_adar,553,2,0.2
adamic_adar,555,1,0.1
adamic_adar,556,8,0.8
adamic_adar,559,1,0.1
adamic_adar,560,3,0.3
adamic_adar,561,1,0.1
adamic_adar,564,1,0.1
adamic_adar,572,1,0.1
adamic_adar,574,1,0.1
adamic_adar,579,1,0.1
adamic_adar,580,4,0.4
adamic_adar,582,7,0.7
adamic_adar,583,4,0.4
adamic_adar,584,1,0.1
adamic_adar,586,3,0.3
adamic_adar,587,4,0.4
adamic_adar,588,6,0.6
adamic_adar,590,2,0.2
adamic_adar,592,4,0.4
adamic_adar,600,4,0.4
adamic_adar,604,2,0.2
adamic_adar,606,1,0.1
adamic_adar,613,1,0.1
adamic_adar,614,3,0.3
adamic_adar,615,4,0.4
adamic_adar,618,1,0.1
adamic_adar,620,3,0.3
adamic_adar,624,1,0.1
adamic_adar,625,2,0.2
adamic_adar,626,3,0.3
adamic_adar,633,6,0.6
adamic_adar,634,6,0.6
adamic_adar,635,5,0.5
adamic_adar,637,5,0.5
adamic_adar,639,4,0.4
adamic_adar,642,1,0.1
adamic_adar,643,7,0.7
adamic_adar,644,6,0.6
adamic_adar,645,1,0.1
adamic_adar,646,2,0.2
adamic_adar,647,5,0.5
adamic_adar,649,3,0.3
adamic_adar,650,5,0.5
adamic_adar,651,1,0.1
adamic_adar,658,1,0.1
adamic_adar,659,3,0.3
adamic_adar,661,1,0.1
adamic_adar,663,7,0.7
adamic_adar,664,3,0.3
adamic_adar,665,2,0.2
adamic_adar,667,5,0.5
adamic_adar,668,1,0.1
adamic_adar,673,2,0.2
adamic_adar,674,6,0.6
adamic_adar,677,1,0.1
adamic_adar,679,1,0.1
adamic_adar,686,6,0.6
adamic_adar,688,1,0.1
adamic_adar,689,1,0.1
adamic_adar,690,1,0.1
adamic_adar,691,4,0.4
adamic_adar,695,7,0.7
adamic_adar,696,1,0.1
adamic_adar,697,5,0.5
adamic_adar,698,3,0.3
adamic_adar,699,2,0.2
adamic_adar,701,1,0.1
adamic_adar,704,5,0.5
adamic_adar,705,4,0.4
adamic_adar,706,7,0.7
adamic_adar,707,10,1.0
adamic_adar,708,4,0.4
adamic_adar,710,7,0.7
adamic_adar,712,4,0.4
adamic_adar,715,2,0.2
adamic_adar,717,1,0.1
adamic_adar,719,1,0.1
adamic_adar,722,7,0.7
adamic_adar,724,2,0.2
adamic_adar,727,1,0.1
adamic_adar,728,2,0.2
adamic_adar,730,5,0.5
adamic_adar,733,2,0.2
adamic_adar,736,1,0.1
adamic_adar,737,4,0.4
adamic_adar,738,1,0.1
adamic_adar,742,7,0.7
adamic_adar,744,1,0.1
adamic_adar,749,5,0.5
adamic_adar,754,1,0.1
adamic_adar,759,7,0.7
adamic_adar,762,6,0.6
adamic_adar,763,2,0.2
adamic_adar,764,5,0.5
adamic_adar,766,3,0.3
adamic_adar,768,1,0.1
adamic_adar,769,6,0.6
adamic_adar,770,1,0.1
adamic_adar,771,1,0.1
adamic_adar,772,1,0.1
adamic_adar,780,1,0.1
adamic_adar,781,2,0.2
adamic_adar,782,2,0.2
adamic_adar,784,6,0.6
adamic_adar,786,1,0.1
adamic_adar,787,2,0.2
adamic_adar,788,6,0.6
adamic_adar,789,5,0.5
adamic_adar,791,7,0.7
adamic_adar,792,1,0.1
adamic_adar,794,5,0.5
adamic_adar,795,4,0.4
adamic_adar,796,1,0.1
adamic_adar,797,1,0.1
adamic_adar,798,2,0.2
adamic_adar,801,2,0.2
adamic_adar,802,2,0.2
adamic_adar,803,1,0.1
adamic_adar,805,6,0.6
adamic_adar,810,7,0.7
adamic_adar,812,1,0.1
adamic_adar,813,9,0.9
adamic_adar,814,1,0.1
adamic_adar,815,1,0.1
adamic_adar,816,4,0.4
adamic_adar,820,3,0.3
adamic_adar,822,2,0.2
adamic_adar,823,2,0.2
adamic_adar,825,9,0.9
adamic_adar,826,6,0.6
adamic_adar,830,1,0.1
adamic_adar,836,7,0.7
adamic_adar,838,5,0.5
adamic_adar,841,4,0.4
adamic_adar,842,4,0.4
adamic_adar,844,5,0.5
adamic_adar,848,2,0.2
adamic_adar,852,5,0.5
adamic_adar,853,1,0.1
adamic_adar,854,4,0.4
adamic_adar,856,8,0.8
adamic_adar,859,3,0.3
adamic_adar,861,4,0.4
